1-комн. квартира, 34,59 м², 4/9 этаж;1;34,59;4/9;Республика Татарстан;Казань;р-н Советский;м. Дубравная;;6 700 000 ;299086867;2
1-комн. квартира, 37,59 м², 4/19 этаж;1;37,59;4/19;Республика Татарстан;Казань;р-н Советский;м. Аметьево;Мечта ЖК;8 040 000 ;299849506;2
1-комн. квартира, 21 м², 5/5 этаж;1;21;5/5;Республика Татарстан;Казань;р-н Ново-Савиновский;мкр. квартал 20;м. Северный Вокзал;2 890 000 ;296265626;2
1-комн. квартира, 35,91 м², 2/15 этаж;1;35,91;2/15;Республика Татарстан;Казань;р-н Авиастроительный;м. Северный Вокзал;улица Михаила Миля;7 200 000 ;296311371;2
1-комн. квартира, 30,8 м², 18/19 этаж;1;30,8;18/19;Республика Татарстан;Казань;р-н Советский;м. Горки;;7 590 000 ;296316223;2
1-комн. квартира, 51,3 м², 2/4 этаж;1;51,3;2/4;Республика Татарстан;Казань;р-н Вахитовский;;м. Площадь Тукая;14 312 700 ;269324604;2
Продажа 1-комнатной квартиры;1;51,3;2/4;Республика Татарстан;Казань;р-н Советский;мкр. Куба;м. Суконная слобода;7 800 000 ;289324294;2
1-комн. квартира, 34,02 м², 4/20 этаж;1;34,02;4/20;Республика Татарстан;Казань;р-н Советский;;м. Суконная слобода;11 328 660 ;297170748;2
1-комн. квартира, 30,69 м², 2/23 этаж;1;30,69;2/23;Республика Татарстан;Казань;р-н Советский;;;6 790 000 ;301139673;2
1-комн. квартира, 35,3 м², 9/9 этаж;1;35,3;9/9;Республика Татарстан;Казань;р-н Кировский;;м. Яшьлек;6 400 000 ;300721574;2
1-комн. квартира, 53,49 м², 4/9 этаж;1;53,49;4/9;Республика Татарстан;Казань;р-н Вахитовский;;м. Площадь Тукая;14 977 200 ;300070528;2
1-комн. квартира, 27,32 м², 7/9 этаж;1;27,32;7/9;Республика Татарстан;Казань;р-н Приволжский;мкр. Теплоконтроль;м. Аметьево;8 000 000 ;298945066;2
1-комн. квартира, 30,2 м², 8/24 этаж;1;30,2;8/24;Республика Татарстан;Казань;р-н Советский;м. Горки;улица Родины;7 500 000 ;295872540;2
1-комн. квартира, 17,1 м², 2/5 этаж;1;17,1;2/5;Республика Татарстан;Казань;р-н Вахитовский;;м. Кремлёвская;9 405 000 ;267941799;2
